Cassette: ,J900K/ENG_STI_CMPSTI_P1_FM_ Alignt OK
COLLECTION DATE/TIME: ,9/3/2015  13:33:1
PROCESS DATE/TIME: ,9/3/2015  13:33:1
EQUIPMENT: ,
OPERATOR: ,
SHIFT: ,
MACHINE TYPE: ,SpectraFx 100 with Dual FIMS Thin Film Measurement System



WAFER ID,"2015/09/03 13:33 05",
LOT ID,"Q527127Q10",
Cassette,Left,
SLOT,5,
STATUS,"",
DATA TYPE,SE,
RECIPE,"J900K/ENG_STI_CMPSTI_P1_FM",
RCP CNT,1,
MEAS SET,1L_Ox_T>1000,
MATERIAL,"Thermal SiO2",
SITE,1,
RESULT TYPE,1st Thickness,GOF ,
MEAN, 5436.8013,0.8586,
MIN, 5149.2134,0.8416,
MAX, 5585.8174,0.8650,
% STDDEV,  1.7425,  0.5757,
STDDEV,   94.7379,0.0049,
3 % STDDEV,  5.2276,  1.7272,
3 STDDEV,  284.2137,0.0148,
RANGE,  436.6040,0.0233,
Site #,Value,Value, X , Y ,
55, 1422.0521,  903.6533,2.0223,0.8956,-74.5544,-67.6742,
56, 1443.9851,  898.6542,2.0222,0.8961,-49.2844,-67.6742,
57, 1482.6560,  895.1867,2.0222,0.8979,-24.0144,-67.6742,
58, 1467.9882,  894.2357,2.0220,0.8970,  1.2556,-67.6742,
59, 1494.3473,  894.2188,2.0222,0.8989, 26.5256,-67.6742,
60, 1492.0703,  895.2089,2.0222,0.8995, 51.7956,-67.6742,
61, 1484.9757,  897.2588,2.0224,0.8994, 77.0656,-67.6742,
62, 1576.9388,  898.6914,2.0232,0.8912,102.3356,-67.6742,
63, 1592.8829,  899.5124,2.0233,0.8817, 77.0656,-97.8662,
64, 1533.1416,  898.3972,2.0224,0.8997, 51.7956,-97.8662,
65, 1499.3420,  897.4810,2.0225,0.9012, 26.5256,-97.8662,
66, 1470.2877,  896.8710,2.0225,0.8983,  1.2556,-97.8662,
67, 1480.3402,  898.1870,2.0225,0.8997,-24.0144,-97.8662,
68, 1498.7097,  901.5024,2.0227,0.8989,-49.2844,-97.8662,
69, 1557.1031,  904.5350,2.0235,0.8915,-74.5544,-97.8662,
70, 1100.3297,  911.0825,2.0234,0.8866,-99.8244,-97.8662,
71, 1268.5857,  906.2933,2.0233,0.8946,-49.2844,-128.0582,
